River,Date Sampled,Year,Month,Date as Text,Sampling Conditions,Parameter,Result,Result Less Than or Equal To,Result Unit,Guideline Value,Guideline Unit,Guideline Source
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pp-Ddd,< 0.026,0.026,ng/ml,,ng/ml,
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Metconazole,< 0.152,0.152,ng/ml,,ng/ml,
Clyde River,"Jul 25, 2018",2018,7,2018-07-25T00:00:00.000,normal (dry),Chlorpyrifos,< 0.01,0.01,ng/ml,0.002,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Sulprophos,< 0.025,0.025,ng/ml,,ng/ml,
Morell River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Endosulfan I,< 0.01,0.01,ng/ml,0.006,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Dunk River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Thiophanate-Methyl,< 0.02,0.02,ng/ml,930,ng/ml,USEPA Aquatic Life Benchmark
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Dieldrin,< 0.026,0.026,ng/ml,,ng/ml,
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Zoxamide,< 0.502,0.502,ng/ml,,ng/ml,
Mill River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Azinphos-Methyl,< 0.03,0.03,ng/ml,0.036,ng/ml,USEPA Aquatic Life Benchmark
Montague River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Etradiazole,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Thiabendazole,< 0.02,0.02,ng/ml,42,ng/ml,USEPA Aquatic Life Benchmark
West River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Fluazifop-P-Butyl,< 0.02,0.02,ng/ml,203,ng/ml,USEPA Aquatic Life Benchmark
West River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Chlorothalonil,< 0.02,0.02,ng/ml,0.18,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Endrin,< 0.025,0.025,ng/ml,,ng/ml,
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Alachlor,< 0.025,0.025,ng/ml,,ng/ml,
Huntley River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Chlorantraniliprole,0.08,0.08,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pp-Dde,< 0.025,0.025,ng/ml,,ng/ml,
West River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Thiabendazole,< 0.02,0.02,ng/ml,42,ng/ml,USEPA Aquatic Life Benchmark
Wilmot River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Chlorothalonil,< 0.02,0.02,ng/ml,0.18,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlormephos,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Imidacloprid,< 0.02,0.02,ng/ml,0.041,ng/ml,Health Canada Guidance Value
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Monolinuron,< 0.61,0.61,ng/ml,,ng/ml,
Huntley River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Clopyralid,< 0.026,0.026,ng/ml,,ng/ml,
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Quinclorac,< 0.026,0.026,ng/ml,,ng/ml,
West River,"Jun 26, 2018",2018,6,2018-06-26T00:00:00.000,normal (dry),Methamidophos,< 5.0,5,ng/ml,4.5,ng/ml,USEPA Aquatic Life Benchmark
Clyde River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),T-Chlordane,< 0.026,0.026,ng/ml,,ng/ml,
Morell River,"Oct 01, 2018",2018,10,2018-10-01T00:00:00.000,normal (dry),Dimethoate,< 0.04,0.04,ng/ml,6.2,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Bromacil,< 0.026,0.026,ng/ml,,ng/ml,
Wilmot River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Etradiazole,< 0.025,0.025,ng/ml,,ng/ml,
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Cypermethrin-Zeta,< 0.072,0.072,ng/ml,,ng/ml,
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),delta-BHC,< 0.153,0.153,ng/ml,,ng/ml,
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Chlorpyrifos,< 0.025,0.025,ng/ml,0.002,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Huntley River,"Jul 24, 2018",2018,7,2018-07-24T00:00:00.000,normal (dry),Propiconazole,< 0.02,0.02,ng/ml,21,ng/ml,USEPA Aquatic Life Benchmark
Winter River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Phorate,< 0.01,0.01,ng/ml,0.21,ng/ml,USEPA Aquatic Life Benchmark
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Dimethachlor,< 0.025,0.025,ng/ml,,ng/ml,
Morell River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Pyridaben,< 0.025,0.025,ng/ml,,ng/ml,
Dunk River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Carbaryl,< 0.051,0.051,ng/ml,,ng/ml,
Morell River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Phorate,< 0.01,0.01,ng/ml,0.21,ng/ml,USEPA Aquatic Life Benchmark
Winter River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Metobromuron,< 0.03,0.03,ng/ml,,ng/ml,
Winter River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Atrazine,< 0.03,0.03,ng/ml,1.8,ng/ml,The Canadian Long term freshwater Water Quality Guideline for the Protection of Aquatic Life
Mill River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Trifloxystrobin,< 0.026,0.026,ng/ml,,ng/ml,
Winter River,"Jun 27, 2018",2018,6,2018-06-27T00:00:00.000,normal (dry),Azoxystrobin,< 0.02,0.02,ng/ml,44,ng/ml,USEPA Aquatic Life Benchmark
Montague River,"Sep 12, 2018",2018,9,2018-09-12T00:00:00.000,wet weather,Phorate,< 0.01,0.01,ng/ml,0.21,ng/ml,USEPA Aquatic Life Benchmark
Mill River,"Aug 22, 2018",2018,8,2018-08-22T00:00:00.000,normal (dry),Thiophanate-Methyl,< 0.02,0.02,ng/ml,930,ng/ml,USEPA Aquatic Life Benchmark
Dunk River,"Aug 21, 2018",2018,8,2018-08-21T00:00:00.000,normal (dry),Cypermethrin,< 0.01,0.01,ng/ml,0.069,ng/ml,USEPA Aquatic Life Benchmark
West River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Fluazifop-P-Butyl,< 0.026,0.026,ng/ml,203,ng/ml,USEPA Aquatic Life Benchmark
Winter River,"May 28, 2018",2018,5,2018-05-28T00:00:00.000,normal (dry),Imidacloprid,< 0.01,0.01,ng/ml,0.041,ng/ml,Health Canada Guidance Value
